state,x,y
Andhra Pradesh,-46.00,-111.00
Arunachal Pradesh,142.00,91.00
Assam,129.00,55.00
Bihar,42.00,37.00
Chhattisgarh,-3.00,-22.00
Goa,109.00,-102.00
Gujarat,-135.00,8.00
Haryana,-74.00,92.00
Himachal Pradesh,-64.00,134.00
Jharkhand,37.00,11.00
Karnataka,-84.00,-115.00
Kerala,-76.00,-170.00
Madhya Pradesh,-52.00,6.00
Maharashtra,-88.00,-47.00
Manipur,144.00,37.00
Meghalaya,110.00,44.00
Mizoram,134.00,18.00
Nagaland,151.00,58.00
Odisha,31.00,-33.00
Punjab,-84.00,113.00
Rajasthan,-103.00,57.00
Sikkim,76.00,68.00
Tamil Nadu,-50.00,-161.00
Telangana,-40.00,-67.00
Tripura,118.00,17.00
Uttar Pradesh,-18.00,57.00
Uttarakhand,-42.00,106.00
West Bengal,69.00,9.00
